Essoil DB Correction needed	Multi CAIDs	caid	caname	unique/synonym	uactivityMatch	uactivity	caName and Synonyms	ActivityClass	(Phytomedicinal Activity) ActionType	Activity Description (AMBRISH: Please try to extract the activity descriptions into a new column/field. These need to be verified somehow)	Specific ActivityTarget	Reported Uses (Diseases, Symptoms, etc.)	MannyNotes_Compound Activity	Route of use: Topical Oral Uncertain Both	VC Product Class	VC Utitlity		caname
			ACE-inhibitor	S				Hemo/Cardiovascular Modulation | Vasodilator Agent		ACE Inhibitor: Inhibits Angiotensin-Converting Enzyme (ACE): A substance that inhibits angiotensin-converting enzyme (typically resulting in lowered blood pressure).  Used primarily for the treatment of hypertension (elevated blood pressure) and congestive heart failure.	ACE (Angiotensin-Converting Enzyme)	hypertension (elevated blood pressure) and congestive heart failure	multi action types: Enzyme Modulator and Vascular Modulation		RESTORE	Good		ACE-inhibitor
		146	NO-genic	F				Hemo/Cardiovascular Modulation | Vasodilator Agent	Vasodilator | Nitric Oxide Inducer	Nitric Oxide Inducer. Nitric Oxide (NO) is a powerful vasodilator with a half-life of a few seconds in the blood. Standard pharmaceuticals such as nitroglycerine and amyl nitrite are precursors to nitric oxide.			Check the related Essoil bibliography liturature to see if this is what NO-genic is. I can’t find it anywhere online.		RESTORE	Good		NO-genic
			Vasodilator	F				Hemo/Cardiovascular Modulation | Vasodilator Agent	Vasodilator Agent	A substance that causes a widening and/or relaxation of the blood vessels and therefore and increase in blood flow.  A					RESTORE	Good		Vasodilator
							Balancing, Modulation, Regulation	Hormone Modulation							REMOVE	Good		
								Hormone Modulation | Production	Pro-androgen	Enhances hormone production					REMOVE	Good		
								Hormone Modulation | Production	Pro-cortisol	Enhances hormone production					REMOVE	Good		
								Hormone Modulation | Reduction	Androgen Precursor Inhibitor	Inhibits excess conversion of Androgen Precursors to Androgens	Androgen Precursors				REMOVE	Good		
								Hormone Modulation | Reduction	Anti-androgenic	Reduces/inhibits androgen hormone	androgen hormone and/or its precursors	Constricted Pores/Follicles | hormone-caused reduction in the size of the pore/follicle (pilosebaceous orifice) during the premenstrual period			REMOVE	Good		
								Hormone Modulation | Reduction	Anti-androgenic			Excess Androgen (Hyperandrogenism)			REMOVE	Good		
								Hormone Modulation | Reduction	Anti-androgenic			Infufficient Estrogen (Hypoestrogenism)			REMOVE	Good		
								Hormone Modulation | Reduction	Anti-cortisol			Excess Cortisol			REMOVE	Good		
								Hormone Modulation | Reduction	Anti-cortisol						REMOVE	Good		
		32	Anti-estrogenic	F				Hormone Modulation | Reduction	Anti-estrogenic						REMOVE	Good		Anti-estrogenic
								Hormone Modulation | Reduction	Anti-estrogenic			Excess Estrogen (Hyperestrogenism)			REMOVE	Good		
								Hormone Modulation | Reduction	Hormone Reduction (Precursor)						REMOVE	Good		
								Hormone Modulation | Reduction	Pro-corticotropin Releasing Hormone (Crh)						REMOVE	Good		
		15	Anti-allergic	F				Immune | Anti-allergenic	Anti-allergenic (Generic term)	Relating to any agent or measure that prevents, inhibits, or alleviates an allergic reaction.					REMOVE	Good		Anti-allergic
		17	Anti-anaphylactic	F				Immune | Anti-allergenic	Anti-anaphylactic	Anti-anaphylactic: Blocks or reduces an allergic reaction. The reduction or abolition of allergic sensitivity or reactions to the specific Anti-gen (allergen).					REMOVE	Good		Anti-anaphylactic
								Immune | Anti-allergenic	Anti-histamic	INHIBITS Prostaglandin D2 | (Arachidonic acid metabolites) | Anti-histamic	Prostaglandin D2 | Produced mainly by mast cells; bronchoconstrictor, peripheral vasodilator, coronary and pulmonary artery vasoconstrictor, platelet aggregation inhibitor, neutrophil chemoattractant, and enhancer of histamine release from basophils				REMOVE	Good		
								Immune | Anti-allergenic	Anti-histaminic	Histamine Inhibitor. Causes contraction of smooth muscles of the airway and GI tract, increased vasopermeability and vasodilation, enhanced mucus production, pruritus, cutaneous vasodilation, and gastric acid secretion	Histamine				REMOVE	Good		
								Immune | Anti-allergenic	Anti-histaminic	Cytokine IL-13 Inhibitor	IL-13 | TH2 cells, mast cells | act on B-cells to promote the production of Anti-gen-specific IgE responses				REMOVE	Good		
		38	Anti-histaminic	F				Immune | Anti-allergenic	Anti-histaminic | (Generic term)	counteracts the action of histamine, an agent in the body that causes itching and flushing of the skin such as in an allergic reaction	Histamine and/or its precursors				REMOVE	Good		Anti-histaminic
								Immune | Anti-allergenic		INHIBITS Bradykinin | (Bradykinin increases vasopermeability, vasodilation, hypotension, smooth muscle contraction, pain, and activation of arachidonic acid metabolites)	Bradykinin				REMOVE	Good		
								Immune | Anti-allergenic		Eosinophilic chemotactic factor of anaphylaxis, which can cause significant tissue damage in the later phases of allergic reactions	chemotactic factor				REMOVE	Good		
								Immune | Anti-allergenic		INHIBITS Proteoglycans | Chondroitin sulfate | Role Unknown	Chondroitin sulfate				REMOVE	Good		
								Immune | Anti-allergenic	Bradykinin inhibitor	INHIBITS Cytokine, Interleukin 6 (IL-6) an interleukin that acts as both a pro-inflammatory cytokine and an anti-inflammatory myokine. (Induces Ig synthesis and acute-phase reactants., reduces regenerative effects, contributes to the development of neuropathic pain behavior following a peripheral nerve injury, induces tactile allodynia and thermal hyperalgesia)	IL-06 | Macrophages, T cells, endothelial cells | Induces Ig synthesis and acute-phase reactants. Promotes mucus production				REMOVE	Good		
								Immune | Anti-allergenic	Chemotactic Factor inhibitor	INHIBITS Cytokine IL-09 | IgE responses | TH2 cells, mast cells | act on B-cells to promote the production of Anti-gen-specific IgE responses	IL-09 | TH2 cells | IgE responses | plays a regulatory role in mast cells activation				REMOVE	Good		
								Immune | Anti-allergenic	Chondroitin sulfate inhibitor	PROMOTES Cytokine TGF-beta | Inhibits Anti-gen presentation, cytokine responses	TGF-beta | T cells, macrophages | Inhibits Anti-gen presentation, cytokine responses)				REMOVE	Good		
								Immune | Anti-allergenic	Cytokine IL-06 inhibitor	INHIBITS Heparin (Proteoglycan)	Heparin (Proteoglycan)				REMOVE	Good		
								Immune | Anti-allergenic	Cytokine IL-09 inhibitor	INHIBITS Leukotriene B4 (Arachidonic acid metabolites Produced via the lipoxygenase pathway) | Neutrophil chemotaxis and activation, augmentation of vascular permeability					REMOVE	Good		
								Immune | Anti-allergenic	Cytokine TGF-beta Promotor	INHIBITS Leukotriene E4 (Arachidonic acid metabolites Produced via the lipoxygenase pathway) | Enhances bronchial responsiveness and increases vascular permeability					REMOVE	Good		
								Immune | Anti-allergenic	Heparin (Proteoglycan) inhibitor	INHIBITS Leukotrienes C4 and D4 (Arachidonic acid metabolites Produced via the lipoxygenase pathway) | Potent bronchoconstrictors, increase vascular permeability, and cause arteriolar constriction					REMOVE	Good		
								Immune | Anti-allergenic	Leukotriene B4 inhibitor	INHIBITS Leukotrienes C4 and D4 (Arachidonic acid metabolites Produced via the lipoxygenase pathway) that are potent bronchoconstrictors, increase vascular permeability, and cause arteriolar constriction			Re-check: I’m no longer sure if this is a Good or Bad activity.		REMOVE	Good		
								Immune | Anti-allergenic	Leukotriene E4 inhibitor	Photoallergy Inhibitor					REMOVE	Good		
								Immune | Anti-allergenic	Leukotrienes C4 and D4 inhibitor	INHIBITS Platelet-activating factor (PAF) | It increases vascular permeability					REMOVE	Good		
								Immune | Anti-allergenic	Prostaglandin F2-alpha inhibitor	INHIBITS Prostaglandin F2-alpha. Prostaglandin F2-alpha is a bronchoconstrictor, peripheral vasodilator, coronary vasoconstrictor, and platelet aggregation inhibitor	Prostaglandin F2-alpha				REMOVE	Good		
								Immune | Anti-allergenic	Thromboxane A2 inhibitor	INHIBITS Thromboxane A2 | Thromboxane A2 | Causes vasoconstriction, platelet aggregation, and bronchoconstriction	Thromboxane A2				REMOVE	Good		
								Immune | Anti-allergenic	Tryptase (Protease) inhibitor	INHIBITS Tryptase (Protease) | Protease-Inhibitor	Tryptase (Protease)				REMOVE	Good		
								Immune | Anti-allergenic / Anti-inflammatory	COX-1 (Cyclooxygenase Enzyme) Pathway inhibitor	INHIBITS COX-1 (Cyclooxygenase Enzyme) Pathway	Cyclooxygenase | COX-1 Pathways				REMOVE	Good		
								Immune | Anti-allergenic / Anti-inflammatory	COX-1 and COX-2 (Cyclooxygenase Enzyme) Pathways inhibitor	INHIBITS COX-1 and COX-2 (Cyclooxygenase Enzyme) Pathways	Cyclooxygenase | COX-1 and COX-2				REMOVE	Good		
								Immune | Anti-allergenic / Anti-inflammatory	COX-2 (Cyclooxygenase Enzyme) Pathway inhibitor	INHIBITS COX-2 (Cyclooxygenase Enzyme) Pathway	Cyclooxygenase | COX-2 Pathways				REMOVE	Good		
								Immune | Anti-allergenic / Anti-inflammatory	Cytokine TNFα (Tumor necrosis factor-alpha) inhibitor	INHIBITS Cytokine TNFα (Tumor necrosis factor-alpha) | Cytokine TNFα is a pro-inflammatory cytokine; promotes angiogenesis and coagulation	TNFα (Tumor necrosis factor-alpha				REMOVE	Good		
								Immune | Anti-allergenic / Anti-inflammatory	Lipoxygenase Pathway inhibitor	INHIBITS the Lipoxygenase Pathway | Blocks COX-1 and COX-2 Pathways after Phosholipase. The lipoxygenase pathway is parallel to the COX pathway, and more closely related to pulmonary reactions. To inhibit COX synthesis, the blockade must be prior to lipooxygenase, which is phospholipase					REMOVE	Good		
								Immune | Anti-allergenic / Anti-inflammatory / Anti-Microbial Response	Cytokine IFN-γ Promotor	PROMOTES Cytokine IFN-γ Promotor | Crucial for the resolution of allergic-related immunopathologies and stimulates macrophage response to microbes	IFN-γ | Crucial for the resolution of allergic-related immunopathologies				REMOVE	Good		
								Immune | Anti-allergenic / Anti-inflammatory / Wound Healing	Cytokine IL-10 Promotor	PROMOTES Cytokine IL-10 | by stimulating CD4+ CD25+ FOXP3+ T-regulatory (Treg) cells to proliferate and secrete IL-10 and TGF-beta (macrophages release anti-inflammatory IL-10, PGE2, and TGF-beta to complete the task of maintaining immune homeostasis) | tissue growth factor for wound healing). Inhibition of monocyte/macrophage and mrutrophil cytokine production and inhibition of TH1-type lymphocyte responses	IL-10 | Platelets | Immune modulator for leukocytes, tissue growth factor for wound healing)				REMOVE	Good		
							Anti-Bronchoconstrictor	Immune | Anti-allergenic | Anti-Bronchoconstrictor	Adenosine inhibitor	Adenosine. Adenosine is a bronchoconstrictor that also potentiates IgE-induced mast cell mediator release	Adenosine				REMOVE	Good		
								Immune | Anti-allergenic | Anti-Histiminic	Cytokine IL-04 inhibitor	INHIBITS Cytokine IL-04 , a pro-histiminic	IL-04 | TH2 cells, mast cells | act on B-cells to promote the production of Anti-gen-specific IgE responses				REMOVE	Good		
								Immune | Anti-allergenic | Anti-Histiminic	Cytokine IL-05 inhibitor	INHIBITS Cytokine IL-05, a pro-histiminic	IL-05 | TH2 cells | Eosinophil development, recruitment, activation and growth factor, B-cell activation factor				REMOVE	Good		
								Immune | Anti-allergenic | Pro-anaphylaxis	Leukotrienes C4, D4, and E4 inhibitor	INHIBITS Leukotrienes C4, D4, and E4 that are pro-anaphylaxis					REMOVE	Good		
		160	Prostaglandin Synthesis-Inhibitor	F				Immune | Anti-inflammatory	“Prostaglandin Synthesis-Inhibitor” Inhibitor	INHIBITS Prostaglandin Synthesis-Inhibitor: Precursors inhibiting the biosynthesis of prostaglandins and thromboxanes from arachidonic acid. They are physiologically active compounds, having effect on vascular and airway smooth muscles, platelet aggregation, etc.					REMOVE	Good/bad Inhibiting the inhibitor is good.		Prostaglandin Synthesis-Inhibitor
		18	Anti-arachidonate	F				Immune | Anti-inflammatory	Anti-arachidonate	Anti-arachidonate. An unsaturated fatty acid, C20H32O2, present in animal fats and synthesized by the body from linoleic acid, that is essential in human nutrition and is a precursor in the biosynthesis of some prostaglandins. The inflammation chain is: phospholipase -> ac aracdonico -> cox / lipooxygenase. Since blockage is in the beginning, it inhibits COX (-pathway of prostaglandins and prostacyclins) and lipooxygenase (-path of leukotriene), so it also has anti-allergic effect.	Arachidonate				REMOVE	Good		Anti-arachidonate
		40	Anti-inflammatory	F				Immune | Anti-inflammatory	Anti-Inflammatory (Generic term)	Used to reduce or inhibit inflammation: a local response to cellular injury that is marked by capillary dilatation, leukocytic infiltration, redness, heat, and pain and that serves as a mechanism initiating the elimination of noxious agents and of damaged tissue					REMOVE	Good		Anti-inflammatory
			Anti-prostaglandin	F				Immune | Anti-inflammatory	Anti-prostaglandin	Anti-prostaglandin: a substance (such as aspirin or ibuprofen) that blocks the production of prostaglandin or inhibits its action in the body … they act as Anti-prostaglandins, preventing both the production of prostaglandins (PGs) and the binding of the PG to its receptor					REMOVE	Good		Anti-prostaglandin
		82	COX-1-Inhibitor	F				Immune | Anti-inflammatory	Cyclooxygenase Enzyme 1 | COX-1 inhibitor	Cyclooxygenase Enzyme 1 | COX-1 inhibitor: inhibits the action of the enzyme cox-1 (cyclooxygenase-1). The common Anti-inflammatory drugs such as aspirin, ibuprofen, and naproxen block the action of both cox-1 and cox-2. ... In some cases, using a buffered form of a cox-1 inhibitor can eliminate or reduce these adverse effects.					REMOVE	Good		COX-1-Inhibitor
		83	COX-2-Inhibitor	F				Immune | Anti-inflammatory	Cyclooxygenase Enzyme 2 (COX2) inhibitor	Cyclooxygenase Enzyme 2 (COX2) inhibitor: An Anti-inflammatory drug that selectively blocks the cox-2 enzyme. Blocking this enzyme impedes the production of prostaglandins — the chemical messengers that cause the pain and swelling of arthritis inflammation					REMOVE	Good		COX-2-Inhibitor
								Immune | Anti-inflammatory	Cytokine IL-11 Promotor	PROMOTES Cytokine IL-11 | (which Inhibits proinflammatory cytokines)	IL-11 |				REMOVE	Good		
								Immune | Anti-inflammatory	Cytokine/Chemokine inhibitor	Cytokine/Chemokine inhibitor: Chemokines, including MCP-1 in particular, play very key roles in neuropathic pain as well as in neuroinflammatory conditions	Cytokine/Chemokine				REMOVE	Good		
								Immune | Anti-inflammatory	GM-CSF Cytokine Macrophages, T cell inhibitor	INHIBITS GM-CSF Cytokine Macrophages, T cells | Hematopoietic growth factor for neutrophils, eosinophils, and macrophages	GM-CSF | Macrophages, T cells | Hematopoietic growth factor for neutrophils, eosinophils, and macrophages				REMOVE	Good		
								Immune | Anti-inflammatory	Opsonin Activator inhibitor	Opsonin Activator inhibitor | Inhibits Protein Kinase A and C Pathways and also inhibits activation of T Cells	inhbit Protein Kinase A and C Pathways				REMOVE	Good		
								Immune | Anti-inflammatory	Prostaglandin Synthesis-inhibitor Promotor	PROMOTES Prostaglandin Synthesis-inhibitor Promotor					REMOVE	Good		
								Immune | Anti-inflammatory	Protein Kinase A and C Pathways inhibitor	Opsonin Activator inhibitor | Inhibits Protein Kinase A and C Pathways and also inhibits activation of T Cells	T Cells activation				REMOVE	Good		
		10	Anti-TNF (Tumor Necrosis Factor)	S				Immune | Anti-inflammatory	TNF (Tumor Necrosis Factor) inhibitor	TNF (Tumor Necrosis Factor) inhibitor: TNF inhibitors are drugs that help stop inflammation. They're used to treat diseases like rheumatoid arthritis (RA), juvenile arthritis, psoriatic arthritis, plaque psoriasis, ankylosing spondylitis, ulcerative colitis (UC), and Crohn's disease. They're also called TNF blockers, biologic therapies, or Anti-TNF drugs. Potent proinflammatory and immunoregulatory mediator, stimulates endothelial cell activation and angiogenesis. IL-1 and TNF-alpha share many activities, including the ability to enhance cytokine production, adhesion molecule expression, proliferation					REMOVE / RENEW	Good		Anti-TNF (Tumor Necrosis Factor)
								Immune | Anti-inflammatory	TOR (Target Of Rapamycin (TOR) protein kinase) inhibitor	INHIBITS Opsonin Activator | TOR inhibitor	Tor				REMOVE	Good		
								Immune | Anti-inflammatory / Anti-Irritant	Cytokine IL-1ra Promotor	PROMOTES Cytokine IL-1ra | Specific inhibitor of IL-1α and IL-1-beta mediated cellular activation at the IL-1 cellular receptor level. Anti-inflammatory cytokines, such as IL-10 and the IL-1 receptor antagonist (IL-1RA), are also released in response to irritant exposure and may be involved in the resolution of the inflammatory process. IL-1-alpha and TNF-alpha act as primary signals for the release of proinflammatory chemokines	Il-01ra				REMOVE	Good		
								Immune | Anti-inflammatory / Anti-nociceptive	Cytokine IL-01-beta Inhibitor	INHIBITS Cytokine IL-01-beta | (Cytokine IL-01-beta is a potent proinflammatory Cytokine that increases the sensation of pain)	IL-01-beta | Macrophage | Endogenous pyrogen, endothelial cell activation, induces acute-phase reactants				REMOVE	Good		
								Immune | Anti-inflammatory / Anti-nociceptive / Vasodialator	Prostaglandin Pge2 Promotor	PROMOTES Prostaglandin Pge2 | Anti-inflammatory Factor: may play a role in resolution of inflammation, induces fever, direct vasodilator, relaxing smooth muscles, and it inhibits the release of noradrenaline from sympathetic nerve terminals | Prostaglandin E2 was first made in 1970 and approved for medical use in the United States in 1977. It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system. Prostaglandin E2 is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system. 	Prostaglandin E2 (Pge2)	Pain reduction, vasodilation			REMOVE	Good		
								Immune | Anti-Inflammatory / Wound healing	Cytokine TH2 inhibitor	INHIBITS Cytokine TH2 | Immune modulator for leukocytes, tissue growth factor for wound healing): Th2 — T helper type 2 (Th2) cells produce IL-4, IL-5, IL-13, and IL-10 but not IL-2 or IFN-gamma. By virtue of their IL-4 and IL-13 secretion, they are important in the promotion of immunoglobulin E (IgE) synthesis and via IL-5 stimulate eosinophil development. They help mediate immunity against parasitic infestations, particularly helminths, and are pivotal in the development of allergy and asthma [18-20].	TH2	Wound healing			RESTORE	Good		
								Immune | Anti-Irritant	Cytokine IL-1ra promotor	PROMOTES Cytokine IL-1ra | Specific inhibitor of IL-1α and IL-1-beta mediated cellular activation at the IL-1 cellular receptor level: Anti-inflammatory cytokines, such as IL-10 and the IL-1 receptor antagonist (IL-1RA), are also released in response to irritant exposure and may be involved in the resolution of the inflammatory process. IL-1-alpha and TNF-alpha act as primary signals for the release of proinflammatory chemokines	Il-01ra | Specific inhibitor of IL-1α and IL-1-beta mediated cellular activation at the IL-1 cellular receptor level				REMOVE	Good		
								Immune | Anti-Microbial / Anti-inflammatory	Prostaglandin Pge1 promotor	PROMOTES Prostaglandin Pge1: an Anti-inflammatory Factor	Prostaglandin E1 (Pge1)				REMOVE	Good		
								Immune | Anti-Microbial Response	Cytokine IFN-alpha promotor	PROMOTES Cytokine IFN-alpha | INHIBITS viral replication, reduces pain, pyrogenic factor, Anti-tumor | Elicits the release of prostaglandin-E2 (PGE2): IFN-alpha | Inhibits viral replication, reduces pain, pyrogenic factor, Anti-tumor | secreted by many cell types including lymphocytes (Macrophages, dendritic cells, NK cells, B-cells and T-cells), macrophages, fibroblasts, endothelial cells, osteoblasts and others. Elicit an Anti-viral response, involving IRF3/IRF7 Anti-viral pathways. Elicits the release of prostaglandin-E2 (PGE2).					REMOVE	Good		
								Immune | Anti-Microbial Response	Cytokine IFN-beta promotor	PROMOTES Cytokine IFN-beta | Anviviral/Anti-tumor response: IFN-beta |Responds to on Virally infected cells, blocks tumor angiogenesis  | secreted by many cell types including lymphocytes (NK cells, B-cells and T-cells), macrophages, fibroblasts, endothelial cells, osteoblasts and others.					REMOVE	Good		
								Immune | Anti-Microbial Response	Cytokine IFN-Omega promotor	PROMOTES Cytokine IFN-Omega- | Anviviral/Anti-tumor response: IFN-Omega- | released by leukocytes at the site of viral infection or tumors	IFN-Omega				REMOVE	Good		
								Immune | Anti-Microbial Response	Cytokine IgG3 and igG1 promotor	PROMOTES Cytokine IgG3 and igG1 | Anviviral response to protein Anti-gens in particular after viral infections and to bacterial capsular polysaccharide Anti-gens	IgG3 and igG1 response to protein Anti-gens in particular after viral infections.				REMOVE	Good		
								Immune | Anti-Microbial Response	Cytokine IgG3 and igG1 promotor	PROMOTES Cytokine IgG3 and igG1 | Anviviral response to protein Anti-gens in particular after viral infections and to bacterial capsular polysaccharide Anti-gens	IgG3 and igG1 response to protein Anti-gens in particular after viral infections.				REMOVE	Good		
								Immune | Anti-Microbial Response	Cytokine IL-17 promotor	PROMOTES Cytokine IL-17 | TH17 cells | PROMOTES NEUTROPHIL INFLAMMATION essential for immunity at the skin and mucosal surfaces to help fight extracellular pathogens	IL-17 | TH17 cells				REMOVE	GOOD!		
								Immune | Anti-Microbial Response	Cytokine IL-21 promotor	PROMOTES Cytokine IL-21 | TH17 cells | PROMOTES NEUTROPHIL INFLAMMATION essential for immunity at the skin and mucosal surfaces to help fight extracellular pathogens	IL-21 | TH17 cells				REMOVE	GOOD		
								Immune | Anti-Microbial Response	Cytokine IL-22 promotor	PROMOTES Cytokine IL-22 | TH17 cells | PROMOTES NEUTROPHIL INFLAMMATION essential for immunity at the skin and mucosal surfaces to help fight extracellular pathogens	IL-22 | TH17 cells				REMOVE	GOOD		
								Immune | Modulation | Antivenin	Anti-venin	Antivenin: an antitoxin that counteracts the effects of venom from the bite of a snake or insect or other animal. An agent used against the venom of a snake, spider, or other venomous animal or insect.					REMEDY			
								Immune | Modulation | Stimulation	Immuno-stimulant (Generic term)	an agent that stimulates an immune response					REMEDY			
								Immune | Modulation | Suppressant	immuno-suppressant (Generic term)	suppression (as by drugs or disease) of the immune response					REMEDY			
		130	Immunomodulator	F				Immune Modulation	Immune | Balancing/Modulation/Regulation (Generic terms)	a chemical agent that modifies the immune response or the functioning of the immune system (as by the stimulation of Anti-body formation or the inhibition of white blood cell activity)			Can modulator be made more specific? Up/Down? Acts on a specific pathway?		REMOVE	Neutral		Immunomodulator
		33	Anti-feedant	F				Insect Control	Anti-feedant	Anti-feedant | stops or inhibits feeding by an insect: repellant, a natural or synthetic substance that stops or inhibits feeding by a pest and especially an insect					FORMULA	Good		Anti-feedant
								Insect Control	Anti-feedant						FORMULA	Good		
		77	Apifuge	F				Insect Control	Apifuge	Apifuge: for calming bees	Bees				FORMULA	Good		Apifuge
								Insect Control	Culicide	Culicide: Insecticide that kills Mosquitos	Mosquitos				FORMULA	Good		
		203	Insect Attractant | Mosquito	F			Repellant	Insect Control	Insect Attractant		Mosquitos		attractant vs phillic? (Specific species?) Species unspecified ?		CAUTION	BAD		Insect Attractant | Mosquito
		132	Insecticide	F				Insect Control	Insecticide	Kills insects - Undefined Types					FORMULA	Good		Insecticide
		131	Insect Repellent	F			Repellant	Insect Control	Insectifuge / Repellant	Insect Repellent: A substance that protects against insects			Is this the same as Insectifuge?		FORMULA	Good		Insect Repellent
		200	Insect Repellent	S			Repellant	Insect Control	Insectifuge / Repellant	Insect Repellent: A substance that protects against insects					FORMULA	Good		Insect Repellent
		133	Insectifuge	F			Repellant	Insect Control	Insectifuge / Repellant	Insect Repellent: A substance that protects against insects					FORMULA	Good		Insectifuge
							Repellant	Insect Control	Insectifuge / Repellant	Insect Repellent: A substance that protects against insects					FORMULA	Good		
		135	Insectiphile	S					Insectiphile	Attracts Insects - Undefined Types					CAUTION	Bad		Insectiphile
		137	Juvabional	F					Juvabional	Insecticide | Juvabional | activity like that of juvenile hormone: a substance originally isolated from pulpwood of the balsam fir that is a selectively effective insecticide with activity like that of juvenile hormone					FORMULA	Neutral		Juvabional
		139	Larvicide	F					Larvicide	An agent which kills insect or parasite larva.					FORMULA	Neutral		Larvicide
							Insectifuge		Mosquitofuge	Mosquitofuge | Mosquito repellent	Mosquito: Aedes Aegypti (Yellow Fever)				FORMULA	Good		
							Insectifuge	Insect Control	Mosquitofuge	Mosquitofuge | Mosquito repellent	Mosquito: Anopheles Quadrimaculatus (Malaria)				FORMULA	Good		
								Insect Control	Pediculicide	Pediculicide (Generic term) | Kills liceAn agent that kills lice.					REMEDY	Good		
							Insectifuge	Insect Control	Repellant | Body Lice	Repellant | Body Lice	Pediculus Humanus Corporis (Body Lice)				FORMULA	Good		
							Insectifuge	Insect Control	Repellant | Flies	Repellant | Flies	Flies, Musca Domestica				FORMULA	Good		
							Insectifuge	Insect Control	Repellant | Head Lice	Repellant | Head Lice	Pediculus Humanus Capitis (Head Lice)				FORMULA	Good		
							Insectifuge	Insect Control	Repellant | Lice	Repellant | Lice	Pthirus pubis (Pubic Lice)				FORMULA	Good		
							Insectifuge	Insect Control	Repellent | Moths	Repellent | Moths	Moths				FORMULA	Good		
		173	Termitifuge	F			Insectifuge	Insect Control	Repellent | Termitifuge	An agent that attracts termites,	Termites				FORMULA	Bad		Termitifuge
		172	Termiticide	F				Insect Control	Termiticide	An insecticidal agent that kills termites, eusocial insects that are classified at the taxonomic rank of infraorder Isoptera, or as epifamily Termitoidae within the cockroach order Blattodea.	Termites				FORMULA	Neutral		Termiticide
		180	Varroacide	F				Insect Control	Varroacide	Insecticide | Varroacide | Bees	Bees				FORMULA	Bad		Varroacide
Separate conames		98	Culicide, Expectorant	ME, F, F				Insect Control					hyphen or comma?		FORMULA	Neutral		Culicide, Expectorant
		5	Allelochemic	F				Insect/Pest Control	Allelochemic	Allelochemic | produces a toxic chemical (Allelochemic) in order to defend itself against herbivores or competing plants: a toxic chemical produced by a plant in order to defend itself against herbivores or competing plants.			combine 5 and 6 (5 is the type of chemcal produced by 6)		Plant Defense	Good		Allelochemic
		6	Allelopathic	F				Insect/Pest Control	Allelopathic	Allelopathic | suppresses growth of one plant species by releassing of toxic (Allelochemic) substances: the suppression of growth of one plant species by another due to the release of toxic substances			combine 5 and 6 (5 is the type of chemcal produced by 6)		Plant Defence	Neutral		Allelopathic
		123	Herbicide	F				Insect/Pest Control	Herbicide	Herbicide | Destroys or inhibits plant growth: an agent used to destroy or inhibit plant growth	Plants				PLANT Control	Bad		Herbicide
								Insect/Pest Control	Molluscicidal | kills snails	Molluscicidal | kills snails: An agent that kills snails. (Typically used as an testing method to find agents to treat schistosomiasis)	Snails				GARDEN	Bad		
		156	Pesticide	S				Insect/Pest Control	Pesticide	Pesticide: Kills pests - Undefined Types					FORMULA	Neutral		Pesticide
		147	Nematicide	F				Insect/Pest Control	Pesticide | Kills Nematode worms	Pesticide | Kills Nematode worms: a substance used to kill nematode worms	Nematode worms				FORMULA	Bad		Nematicide
		94	Coleoptophile	F				Insect/Pest Control	Pesticide | Kills Weevils	Pesticide | Kills Weevils: a weevil killer	Weevils				FORMULA	Bad		Coleoptophile
								Insect/Pest Control	Piscicide | kills fish	Piscicide | kills fish: An agent that kills fish (which is a common indicator that the substance has other properties that make it toxic to parasites or bacteria).	Fish				CAUTION	Bad		
								Lesion Treatment | Anti-Scar	Anti-Scar | Firm, smooth, hard growth due to spontaneous scar formation	Anti-Scar | Firm, smooth, hard growth due to spontaneous scar formation					RESTORE	Good		
		91	Carminative	F				Metabolism | Anti-Gas	Carminative	Carminative | either prevent formation of gas in the gastrointestinal tract or facilitate the expulsion of said gas, thereby combatting flatulence	Gas bubbles				REVIVE	Good		Carminative
			Anti-obesity	F				Metabolism | Anti-obesity	Anti-obesity (Generic Term)	Anti-obesity medication or weight loss drugs are pharmacological agents that reduce or control weight. These drugs alter one of the fundamental processes of the human body, weight regulation, by altering either appetite, or absorption of calories.					REVIVE	Good		Anti-obesity
		142	Lipolytic	F				Metabolism | Anti-obesity	Lipolytic	Anti-obesity | Lipolytic | Lipolysis stimulator: An agent that stimulates hydrolysis of fats into fatty acids and glycerol	Fats				REVIVE	Good		Lipolytic
								Mood Modulation / Stress Reducer	Aphrodisiac	An agent that increases sexual activity and libido and/or improves sexual performance.					REMOVE	Good		
		80	CNS-Depressant	F				Mood Modulation / Stress Reducer	CNS-Depressant	Sedative/Anxiolytic (Antidepressant) | CNS-Depressant | Relieves Anxiety: slows down brain activity, which causes the muscles to relax and calms and soothes a person. CNS depressants are used to treat insomnia (trouble sleeping), anxiety, panic attacks, and seizures	Central Nervous System				REMOVE	Neutral		CNS-Depressant
		127	Hypnotic	F				Mood Modulation / Stress Reducer	Hypnotic/Soporific	Hypnotic/Soporific | Sleep inducer: An agent, such as a psychoactive drug, that induces sleep and is used in the treatment of insomnia (sleeplessness), or surgical anesthesia.					REMOVE	Neutral		Hypnotic
